VEHICLE_ID,EVENT_NO_TRIP,EVENT_NO_STOP,ACT_TIME,GPS_LATITUDE,GPS_LONGITUDE,METERS,OPD_DATE,GPS_SATELLITES,GPS_HDOP
3232,244351448,244351482,49513,45.423983,-122.660898,213613,24JAN2023:00:00:00,10.0,0.9
3232,244351334,244351426,46376,45.394192,-122.64911,195422,24JAN2023:00:00:00,10.0,0.9
3232,244351668,244351700,61582,45.419563,-122.66621,282470,24JAN2023:00:00:00,12.0,0.8
3232,244351334,244351426,46366,45.395177,-122.650187,195281,24JAN2023:00:00:00,10.0,0.9
3232,244351448,244351530,52472,45.576617,-122.695495,233131,24JAN2023:00:00:00,12.0,0.8
3232,244351552,244351615,57181,45.477905,-122.672415,254072,24JAN2023:00:00:00,12.0,0.7
3232,244351334,244351356,42581,45.574327,-122.69554,171790,24JAN2023:00:00:00,12.0,0.7
3232,244351334,244351359,42681,45.565142,-122.69563,172800,24JAN2023:00:00:00,12.0,0.7
3232,244351334,244351359,42696,45.563282,-122.695653,173004,24JAN2023:00:00:00,12.0,0.8
3232,244351334,244351418,46076,45.413832,-122.664238,192752,24JAN2023:00:00:00,12.0,0.7
3232,244351334,244351421,46241,45.40568,-122.660093,193873,24JAN2023:00:00:00,12.0,0.8
3232,244351668,244351700,61587,45.419493,-122.665512,282524,24JAN2023:00:00:00,12.0,0.8
3232,244351668,244351706,61812,45.43869,-122.652822,285031,24JAN2023:00:00:00,11.0,1.1
3232,244351772,244351812,67752,45.51997,-122.676942,318430,24JAN2023:00:00:00,12.0,0.8
3232,244351772,244351815,67966,45.51243,-122.680972,319316,24JAN2023:00:00:00,11.0,0.8
3232,244351772,244351818,68304,45.505003,-122.67388,320598,24JAN2023:00:00:00,11.0,0.8
3232,244351872,244351921,74113,45.493135,-122.672937,360904,24JAN2023:00:00:00,9.0,1.1
3232,244351978,244351979,76925,45.573987,-122.704442,378193,24JAN2023:00:00:00,12.0,0.7
3232,244351448,244351543,52870,45.584105,-122.717318,235602,24JAN2023:00:00:00,12.0,0.8
